target,id,text
Negative,0,"judging from previous posts this used to be a good place , but not any longer ."
Negative,1,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude ."
Negative,2,"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table ."
Negative,3,the food was lousy - too sweet or too salty and the portions tiny .
Negative,4,"after all that , they complained to me about the small tip ."
negative,5,avoid this place !
positive,6,"i have eaten at saul , many times , the food is always consistently , outrageously good ."
positive,7,saul is the best restaurant on smith street and in brooklyn .
positive,8,the duck confit is always amazing and the foie gras terrine with figs was out of this world .
positive,9,the wine list is interesting and has many good values .
positive,10,"for the price , you can not eat this well in manhattan ."
negative,11,i was very disappointed with this restaurant .
Negative,12,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .
Negative,13,i had to ask her three times before she finally came back with the dish ive requested .
Neutral,14,"food was okay , nothing great ."
negative,15,chow fun was dry 
Negative,16,i / we will never go back to this place again .
positive,17,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !"
positive,18,"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !"
positive,19,you ca n ' t go wrong here .
positive,20,every time in new york i make it a point to visit restaurant saul on smith street .
positive,21,"everything is always cooked to perfection , the service is excellent , the decor cool and understated ."
positive,22,i had the duck breast special on my last visit and it was incredible .
negative,23,and i hate to say this but i doubt i ' ll ever go back .
Negative,24,"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here ."
positive,25,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .
positive,26,i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .
negative,27,"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern ."
positive,28,we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !
positive,29,the perfect spot .
positive,30,food - awesome .
positive,31,service - friendly and attentive .
positive,32,ambiance - relaxed and stylish .
positive,33,"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart ."
neutral,34,the food is decent .
negative,35,"however , it ' s the service that leaves a bad taste in my mouth ."
negative,36,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check ."
negative,37,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience ."
neutral,38,"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience ."
Negative,39,the last time i walked by it looked pretty empty . hmmm .
positive,40,i had a great experience .
positive,41,food is great .
positive,42,service is top notch .
positive,43,i have been going back again and again .
positive,44,"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery ."
positive,45,the sushi seemed pretty fresh and was adequately proportioned .
positive,46,the rice to fish ration was also good - - they did n ' t try to overpack the rice .
positive,47,we took advanatage of the half price sushi deal on saturday so it was well worth it .
negative,48,surprisingly nothing could be further from the truth .
positive,49,"in the evening , this place attracted a well dressed , with it , ny crowd ."
positive,50,the food was well prepared and the service impecable .
positive,51,i ' m going back .
positive,52,quite simply it ' s like stepping out of manhattan and into a haven of tranquility .
positive,53,i will be going back and heartily recommend it !
positive,54,"it is terrific , as is the value ."
